"Country","ISO3","Region","income category","HepBintroduced","HepBintroducedBirth","HepB3dose","HepBbirth","schedule","PreU5EstPre","PreU5EstPreLowCI","PreU5EstPreHighCI","PreU5EstCar","PreU5EstCarLowCI","PreU5EstCarHighCI","PreGPEstPre","PreGPEstPreLowCI","PreGPEstPreHighCI","PreGPEstCar","PreGPEstCarLowCI","PreGPEstCarHighCI","PostU5EstPre","PostU5EstPreLowCI","PostU5EstPreHighCI","PostU5EstCar","PostU5EstCarLowCI","PostU5EstCarHighCI","PostGPEstPre","PostGPEstPreLowCI","PostGPEstPreHighCI","PostGPEstCar","PostGPEstCarLowCI","PostGPEstCarHighCI","NumCarPrevU5","NumCarPrevU5LowCI","NumCarPrevU5HighCI","NumCarPrevGP","NumCarPrevGPLowCI","NumCarPrevGPHighCI","pop1990","pop1991","pop1992","pop1993","pop1994","pop1995","pop1996","pop1997","pop1998","pop1999","pop2000","pop2001","pop2002","pop2003","pop2004","pop2005","pop2006","pop2007","pop2008","pop2009","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","U51990","U51995","U52000","U52005","U52010","U52015","births-1980-1985","births-1985-1990","births-1990-1995","births-1995-2000","births-2000-2005","births-2005-2010","births-2010-2015","InfMort1985-1990","InfMort1990-1995","InfMort1995-2000","InfMort2000-2005","InfMort2005-2010","InfMort2010-2015","UrbPop1990","UrbPop1995","UrbPop2000","UrbPop2005","UrbPop2010","UrbPop2015","Cov_HepB_BD_2015","Cov_HepB_BD_2014","Cov_HepB_BD_2013","Cov_HepB_BD_2012","Cov_HepB_BD_2011","Cov_HepB_BD_2010","Cov_HepB_BD_2009","Cov_HepB_BD_2008","Cov_HepB_BD_2007","Cov_HepB_BD_2006","Cov_HepB_BD_2005","Cov_HepB_BD_2004","Cov_HepB_BD_2003","Cov_HepB_BD_2002","Cov_HepB_BD_2001","Cov_HepB_BD_2000","Cov_HepB3_2015","Cov_HepB3_2014","Cov_HepB3_2013","Cov_HepB3_2012","Cov_HepB3_2011","Cov_HepB3_2010","Cov_HepB3_2009","Cov_HepB3_2008","Cov_HepB3_2007","Cov_HepB3_2006","Cov_HepB3_2005","Cov_HepB3_2004","Cov_HepB3_2003","Cov_HepB3_2002","Cov_HepB3_2001","Cov_HepB3_2000","Cov_HepB3_1999","Cov_HepB3_1998","Cov_HepB3_1997","Cov_HepB3_1996","Cov_HepB3_1995","Cov_HepB3_1994","Cov_HepB3_1993","Cov_HepB3_1992","Cov_HepB3_1991","Cov_HepB3_1990","PreU5EstPre-region","PreU5EstPreLowCI-region","PreU5EstPreHighCI-region","PreU5EstCar-region","PreU5EstCarLowCI-region","PreU5EstCarHighCI-region","PreGPEstPre-region","PreGPEstPreLowCI-region","PreGPEstPreHighCI-region","PreGPEstCar-region","PreGPEstCarLowCI-region","PreGPEstCarHighCI-region","PostU5EstPre-region","PostU5EstPreLowCI-region","PostU5EstPreHighCI-region","PostU5EstCar-region","PostU5EstCarLowCI-region","PostU5EstCarHighCI-region","PostGPEstPre-region","PostGPEstPreLowCI-region","PostGPEstPreHighCI-region","PostGPEstCar-region","PostGPEstCarLowCI-region","PostGPEstCarHighCI-region","NumCarPrevU5-region","NumCarPrevU5LowCI-region","NumCarPrevU5HighCI-region","NumCarPrevGP-region","NumCarPrevGPLowCI-region","NumCarPrevGPHighCI-region","PreU5EstPre-income","PreU5EstPreLowCI-income","PreU5EstPreHighCI-income","PreU5EstCar-income","PreU5EstCarLowCI-income","PreU5EstCarHighCI-income","PreGPEstPre-income","PreGPEstPreLowCI-income","PreGPEstPreHighCI-income","PreGPEstCar-income","PreGPEstCarLowCI-income","PreGPEstCarHighCI-income","PostU5EstPre-income","PostU5EstPreLowCI-income","PostU5EstPreHighCI-income","PostU5EstCar-income","PostU5EstCarLowCI-income","PostU5EstCarHighCI-income","PostGPEstPre-income","PostGPEstPreLowCI-income","PostGPEstPreHighCI-income","PostGPEstCar-income","PostGPEstCarLowCI-income","PostGPEstCarHighCI-income","NumCarPrevU5-income","NumCarPrevU5LowCI-income","NumCarPrevU5HighCI-income","NumCarPrevGP-income","NumCarPrevGPLowCI-income","NumCarPrevGPHighCI-income"
"South Sudan","SSD","AFRO","Low income",2014.00,2016.00,31.00,,,16.78,13.90,20.44,328.29,271.94,399.81,22.06,18.96,25.97,2290.72,1968.33,2696.01,16.61,13.70,20.20,324.89,267.88,395.14,22.06,18.96,25.97,2290.72,1968.33,2696.01,3.58,0.40,7.07,665.39,553.33,795.13,5768.48,5705.37,5599.81,5490.91,5431.73,5459.51,5591.11,5814.00,6099.92,6405.86,6700.65,6974.44,7237.27,7501.64,7787.65,8108.87,8468.15,8856.80,9263.13,9670.66,10067.19,10448.85,10818.25,11177.49,11530.97,11882.13,1047.25,989.87,1194.04,1378.09,1657.58,1882.43,1206.90,1344.65,1307.69,1356.34,1537.63,1791.66,2045.63,149.77,129.86,113.85,101.37,89.09,77.65,13.27,15.87,16.50,17.15,17.85,18.80,,,,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
"Swaziland","SWZ","AFRO","Lower middle income",1995.00,2016.00,98.00,,,13.72,11.49,16.40,23.74,19.88,28.37,18.33,15.89,21.26,204.15,177.00,236.83,11.52,9.05,14.15,19.93,15.65,24.48,17.51,14.95,20.25,195.01,166.56,225.59,3.85,0.44,7.11,53.72,45.21,64.07,861.37,885.62,906.03,924.02,941.77,960.79,981.76,1003.99,1026.00,1045.62,1061.46,1072.92,1080.93,1087.39,1095.05,1105.87,1120.51,1138.43,1158.89,1180.67,1202.84,1225.25,1248.15,1271.45,1295.09,1319.01,163.56,162.79,157.28,158.27,169.06,178.31,155.18,177.17,179.88,173.23,175.26,185.41,190.53,72.94,71.08,80.73,86.63,75.78,56.30,22.90,23.04,22.68,22.03,21.49,21.30,,,,,,,,,,,,,,,,,98.00,98.00,98.00,95.00,91.00,89.00,88.00,90.00,92.00,93.00,95.00,93.00,90.00,88.00,86.00,83.00,81.00,78.00,76.00,76.00,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,2.70,2.20,3.46,8485.00,6911.00,10875.00,3.26,2.77,4.03,84792.00,71832.00,105043.00,1.64,1.31,2.09,5148.00,4109.00,6581.00,3.13,2.66,3.85,81444.00,69166.00,100437.00,3329.00,2191.00,4914.00,19142.00,15789.00,24075.00
"Gambia","GMB","AFRO","Low income",1991.00,2000.00,97.00,98.00,,8.12,6.79,9.73,29.73,24.84,35.62,11.02,9.54,12.82,179.04,155.06,208.31,1.05,0.76,1.43,3.84,2.77,5.25,7.68,6.61,8.94,124.84,107.49,145.24,25.90,21.35,31.52,62.30,52.51,73.47,916.80,949.49,979.71,1008.35,1036.82,1066.22,1096.70,1128.16,1160.94,1195.42,1231.84,1270.49,1311.34,1354.19,1398.57,1444.20,1491.02,1539.11,1588.57,1639.56,1692.14,1746.36,1802.12,1859.32,1917.85,1977.59,175.06,201.67,232.55,271.55,310.43,351.97,167.10,198.50,232.43,262.61,298.94,336.61,377.81,81.56,76.08,67.13,59.38,52.38,49.84,38.31,43.36,47.86,52.34,56.29,59.63,98.00,96.00,93.00,97.00,90.00,93.00,94.00,96.00,96.00,96.00,95.00,95.00,95.00,95.00,95.00,95.00,97.00,96.00,97.00,98.00,96.00,97.00,97.00,98.00,97.00,95.00,95.00,95.00,94.00,92.00,91.00,91.00,93.00,92.00,94.00,88.00,87.00,57.00,"56",,"78",,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
"Togo","TGO","AFRO","Low income",2007.00,2016.00,88.00,,,7.19,4.71,10.96,83.46,54.59,127.16,9.91,6.46,14.42,608.99,397.30,886.38,6.07,3.91,9.23,70.42,45.40,107.01,9.79,6.39,14.27,601.79,392.96,877.27,12.99,1.20,26.66,175.83,113.69,259.38,3786.94,3882.27,3973.32,4064.92,4163.64,4274.02,4398.23,4534.55,4679.02,4825.70,4970.36,5111.77,5251.47,5391.40,5534.59,5683.26,5837.79,5997.38,6161.79,6330.47,6502.95,6679.28,6859.48,7042.94,7228.91,7416.80,683.84,729.10,817.74,951.27,1076.93,1162.34,689.00,774.26,821.69,908.71,1053.98,1168.34,1247.36,87.17,83.44,80.23,77.34,63.20,55.70,28.58,30.70,32.90,35.18,37.53,39.96,,,,,,,,,,,,,,,,,88.00,87.00,84.00,84.00,85.00,83.00,78.00,24.00,,,,,,,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
"Uganda","UGA","AFRO","Low income",2001.00,2016.00,78.00,,,5.95,4.85,7.22,433.31,352.85,525.74,8.13,6.94,9.53,2580.62,2203.37,3026.76,5.09,4.06,6.33,370.25,295.66,460.96,7.83,6.73,9.14,2487.05,2137.11,2900.71,63.80,6.89,120.31,865.51,712.54,1032.28,17438.90,18040.43,18652.88,19275.42,19907.63,20550.29,21202.11,21865.93,22551.78,23272.99,24039.27,24854.89,25718.04,26624.82,27568.43,28543.94,29550.66,30590.48,31663.89,32771.89,33915.13,35093.64,36306.79,37553.72,38833.33,40144.87,3444.64,4142.04,4842.23,5735.11,6630.42,7512.13,3348.85,3985.87,4760.60,5499.42,6354.50,7246.76,8121.61,113.51,107.13,96.21,79.40,68.21,60.15,11.07,11.66,12.08,13.03,14.49,16.10,,,,,,,,,,,,,,,,,78.00,78.00,78.00,78.00,82.00,80.00,79.00,71.00,73.00,64.00,64.00,62.00,44.00,29.00,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
"Tanzania","TZA","AFRO","Low income",2001.00,2016.00,98.00,,,4.71,3.82,5.84,442.69,358.95,548.44,6.48,5.46,7.65,2857.19,2405.32,3369.40,3.90,2.99,4.97,366.75,281.37,467.37,6.19,5.21,7.30,2726.43,2297.61,3215.54,76.90,8.69,145.36,883.78,718.32,1061.19,25459.60,26315.01,27219.61,28149.32,29070.61,29960.77,30811.85,31635.25,32451.71,33291.54,34178.04,35117.01,36105.80,37149.07,38249.98,39410.54,40634.94,41923.71,43270.14,44664.23,46098.59,47570.90,49082.99,50636.59,52234.86,53879.95,4651.58,5362.48,5976.17,7104.05,8225.56,9419.08,4658.43,5308.48,6003.17,6750.29,7755.82,8998.13,9946.85,100.93,100.19,88.97,67.10,52.41,43.95,18.88,20.54,22.30,24.84,28.11,31.60,,,,,,,,,,,,,,,,,98.00,97.00,91.00,92.00,90.00,91.00,85.00,86.00,83.00,90.00,90.00,95.00,95.00,89.00,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
"Zambia","ZMB","AFRO","Lower middle income",2004.00,2016.00,90.00,,,3.93,3.00,5.07,111.96,85.48,144.50,5.37,4.27,6.72,717.73,570.81,897.49,3.29,2.44,4.34,93.91,69.45,123.83,5.22,4.12,6.49,697.62,550.66,866.64,17.46,2.09,32.76,228.61,178.14,290.50,8027.25,8239.73,8452.27,8669.16,8896.10,9137.07,9394.30,9666.57,9950.22,10239.71,10531.22,10824.12,11120.40,11421.98,11731.74,12052.15,12383.44,12725.97,13082.51,13456.41,13850.03,14264.75,14699.93,15153.21,15620.97,16100.58,1480.29,1670.74,1945.91,2241.53,2474.88,2750.35,1500.45,1708.85,1931.03,2218.22,2493.02,2691.97,2942.17,107.99,108.96,101.20,82.15,65.17,53.84,39.40,37.10,34.80,36.61,38.72,40.92,,,,,,,,,,,,,,,,,90.00,86.00,79.00,78.00,81.00,83.00,94.00,87.00,80.00,81.00,82.00,,,,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,2.70,2.20,3.46,8485.00,6911.00,10875.00,3.26,2.77,4.03,84792.00,71832.00,105043.00,1.64,1.31,2.09,5148.00,4109.00,6581.00,3.13,2.66,3.85,81444.00,69166.00,100437.00,3329.00,2191.00,4914.00,19142.00,15789.00,24075.00
"Zimbabwe","ZWE","AFRO","Low income",1994.00,2016.00,87.00,,,10.23,8.51,12.35,256.18,213.21,309.44,13.75,11.81,15.94,1801.16,1546.67,2087.61,8.54,6.67,10.60,213.91,167.20,265.59,13.22,11.35,15.25,1731.57,1486.56,1996.99,42.21,4.59,76.53,513.85,426.97,606.07,10183.11,10443.04,10682.86,10905.75,11116.94,11320.34,11518.26,11709.99,11893.27,12064.53,12222.25,12366.16,12500.52,12633.89,12777.51,12940.03,13124.26,13329.90,13558.46,13810.59,14086.31,14386.64,14710.82,15054.50,15411.67,15777.45,1736.20,1780.90,1825.19,1950.47,2225.70,2505.48,1773.40,1863.99,1922.07,1983.19,2129.91,2403.17,2660.00,58.34,60.07,64.78,67.21,58.31,46.53,28.98,31.73,33.75,34.11,33.19,32.37,,,,,,,,,,,,,,,,,87.00,91.00,95.00,97.00,94.00,90.00,73.00,75.00,72.00,68.00,65.00,68.00,70.00,73.00,76.00,79.00,31.00,24.00,16.00,9.00,1.00,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
"Antigua and Barbuda","ATG","PAHO","High income",2000.00,2016.00,99.00,,,0.71,0.07,6.20,0.05,0.00,0.43,1.01,0.10,8.91,0.85,0.08,7.49,0.57,0.06,5.06,0.04,0.00,0.35,0.98,0.09,8.64,0.82,0.08,7.26,0.01,0.00,0.08,0.14,0.01,1.20,66.69,67.30,68.42,69.93,71.71,73.61,75.62,77.73,79.85,81.83,83.58,85.05,86.26,87.29,88.25,89.25,90.30,91.38,92.47,93.58,94.66,95.71,96.77,97.82,98.87,99.92,7.36,6.76,8.26,8.44,8.11,8.03,7.44,6.79,6.70,8.17,8.63,8.28,8.16,22.30,18.24,14.91,12.21,10.01,9.10,35.42,33.96,32.12,29.21,26.23,23.77,,,,,,,,,,,,,,,,,99.00,99.00,99.00,98.00,99.00,98.00,98.00,98.00,97.00,99.00,99.00,97.00,99.00,99.00,96.00,,,,,,,,,,,,0.50,0.33,1.14,373.00,250.00,852.00,0.65,0.47,1.35,5957.00,4251.00,12318.00,0.16,0.09,0.53,123.00,69.00,393.00,0.58,0.41,1.23,5335.00,3781.00,11274.00,249.00,171.00,482.00,1052.00,720.00,2315.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"Argentina","ARG","PAHO","Upper middle income",2001.00,2004.00,94.00,84.00,,0.48,0.40,0.59,17.90,14.74,21.85,0.68,0.59,0.81,271.34,234.19,321.01,0.07,0.05,0.09,2.62,1.88,3.51,0.60,0.52,0.71,240.12,207.45,283.40,15.28,12.26,18.80,45.00,37.56,53.75,32729.73,33193.91,33655.15,34110.91,34558.11,34994.81,35419.68,35833.96,36241.59,36648.06,37057.45,37471.50,37889.37,38309.37,38728.69,39145.48,39558.89,39970.22,40382.38,40799.40,41223.88,41656.87,42096.73,42539.92,42981.51,43417.76,3414.60,3517.91,3471.91,3594.87,3645.44,3718.13,3382.36,3504.83,3608.66,3556.06,3658.86,3708.16,3770.83,27.12,24.35,21.84,15.03,14.60,13.68,86.98,88.16,89.14,90.08,90.96,91.75,84.00,87.00,85.00,88.00,85.00,79.00,81.00,79.00,76.00,72.00,71.00,65.00,,,,,94.00,94.00,94.00,91.00,91.00,94.00,94.00,90.00,85.00,84.00,88.00,81.00,73.00,66.00,,,,,,,,,,,,,0.50,0.33,1.14,373.00,250.00,852.00,0.65,0.47,1.35,5957.00,4251.00,12318.00,0.16,0.09,0.53,123.00,69.00,393.00,0.58,0.41,1.23,5335.00,3781.00,11274.00,249.00,171.00,482.00,1052.00,720.00,2315.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
"Bahamas","BHS","PAHO","High income",2000.00,2016.00,95.00,,,0.56,0.03,11.00,0.16,0.01,3.19,0.80,0.04,16.03,2.89,0.16,57.72,0.44,0.02,9.04,0.13,0.01,2.62,0.78,0.04,15.75,2.82,0.15,56.72,0.03,0.00,0.56,0.37,0.02,7.44,256.33,261.11,266.13,271.16,275.89,280.15,283.79,286.97,290.06,293.57,297.89,303.13,309.15,315.74,322.52,329.24,335.83,342.32,348.67,354.85,360.83,366.56,372.03,377.24,382.16,386.83,28.42,30.56,28.14,27.47,26.96,27.92,30.21,29.54,31.60,29.05,24.54,27.19,27.64,18.29,15.55,14.15,11.57,10.04,9.06,79.83,80.96,82.00,82.28,82.54,82.87,,,,,,,,,,,,,,,,,95.00,96.00,97.00,96.00,95.00,98.00,95.00,90.00,93.00,96.00,93.00,93.00,88.00,89.00,21.00,,,,,,,,,,,,0.50,0.33,1.14,373.00,250.00,852.00,0.65,0.47,1.35,5957.00,4251.00,12318.00,0.16,0.09,0.53,123.00,69.00,393.00,0.58,0.41,1.23,5335.00,3781.00,11274.00,249.00,171.00,482.00,1052.00,720.00,2315.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"Barbados","BRB","PAHO","High income",2000.00,2016.00,97.00,,,0.91,0.41,1.83,0.15,0.07,0.31,1.30,0.59,2.54,3.48,1.57,6.78,0.75,0.34,1.53,0.13,0.06,0.26,1.27,0.58,2.49,3.40,1.55,6.65,0.03,0.00,0.07,0.45,0.20,0.87,260.37,261.27,262.18,263.08,264.01,264.95,265.94,266.94,267.95,268.92,269.84,270.68,271.47,272.25,273.09,274.00,275.03,276.15,277.31,278.47,279.56,280.60,281.58,282.50,283.38,284.21,20.52,19.62,18.70,18.12,17.64,17.36,22.39,21.28,20.42,19.23,18.06,17.63,17.24,20.37,16.66,13.60,12.40,11.01,9.56,32.65,33.26,33.83,32.93,32.06,31.47,,,,,,,,,,,,,,,,,97.00,94.00,91.00,87.00,91.00,86.00,93.00,85.00,93.00,84.00,92.00,93.00,91.00,66.00,18.00,,,,,,,,,,,,0.50,0.33,1.14,373.00,250.00,852.00,0.65,0.47,1.35,5957.00,4251.00,12318.00,0.16,0.09,0.53,123.00,69.00,393.00,0.58,0.41,1.23,5335.00,3781.00,11274.00,249.00,171.00,482.00,1052.00,720.00,2315.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"Belize","BLZ","PAHO","Upper middle income",1999.00,2016.00,94.00,,,3.26,2.45,4.22,1.27,0.96,1.65,4.57,3.58,5.81,14.57,11.43,18.52,2.68,1.93,3.60,1.04,0.75,1.40,4.37,3.38,5.55,13.95,10.80,17.72,0.22,0.03,0.45,3.24,2.50,4.17,187.55,191.12,194.31,197.61,201.67,206.96,213.67,221.60,230.28,239.02,247.31,254.98,262.20,269.13,276.08,283.27,290.74,298.40,306.16,313.92,321.60,329.19,336.70,344.18,351.69,359.28,30.39,31.51,37.20,38.26,37.81,39.45,30.80,32.80,33.93,35.41,37.76,37.05,39.58,35.19,29.70,23.01,19.67,16.98,14.32,47.46,47.48,47.66,46.31,44.96,43.97,,,,,,,,,,,,,,,,,94.00,95.00,95.00,98.00,95.00,96.00,97.00,94.00,96.00,98.00,96.00,97.00,96.00,97.00,96.00,76.00,,,,,,,,,,,0.50,0.33,1.14,373.00,250.00,852.00,0.65,0.47,1.35,5957.00,4251.00,12318.00,0.16,0.09,0.53,123.00,69.00,393.00,0.58,0.41,1.23,5335.00,3781.00,11274.00,249.00,171.00,482.00,1052.00,720.00,2315.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
"Bolivia","BOL","PAHO","Lower middle income",1999.00,2016.00,99.00,,,0.35,0.15,0.69,4.18,1.79,8.14,0.49,0.21,0.95,47.16,20.28,91.07,0.29,0.12,0.56,3.38,1.40,6.64,0.48,0.21,0.91,45.39,19.62,86.80,0.72,0.07,2.06,10.34,4.45,20.14,6856.24,6992.52,7131.70,7273.82,7418.86,7566.71,7717.44,7870.85,8026.25,8182.71,8339.51,8496.37,8653.34,8810.42,8967.74,9125.40,9283.33,9441.44,9599.85,9758.74,9918.24,10078.34,10239.00,10400.26,10562.15,10724.70,1045.25,1101.94,1160.30,1183.85,1189.27,1185.56,1157.36,1194.39,1237.23,1281.42,1287.91,1276.22,1258.16,97.79,84.89,72.55,61.19,51.00,42.93,55.57,59.40,61.83,64.19,66.42,68.51,,,,,,,,,,,,,,,,,99.00,98.00,94.00,93.00,95.00,91.00,93.00,88.00,84.00,83.00,85.00,84.00,80.00,77.00,77.00,77.00,,,,,,,,,,,0.50,0.33,1.14,373.00,250.00,852.00,0.65,0.47,1.35,5957.00,4251.00,12318.00,0.16,0.09,0.53,123.00,69.00,393.00,0.58,0.41,1.23,5335.00,3781.00,11274.00,249.00,171.00,482.00,1052.00,720.00,2315.00,2.70,2.20,3.46,8485.00,6911.00,10875.00,3.26,2.77,4.03,84792.00,71832.00,105043.00,1.64,1.31,2.09,5148.00,4109.00,6581.00,3.13,2.66,3.85,81444.00,69166.00,100437.00,3329.00,2191.00,4914.00,19142.00,15789.00,24075.00
"Brazil","BRA","PAHO","Upper middle income",1993.00,2000.00,96.00,91.00,,0.45,0.36,0.54,67.12,54.51,81.57,0.63,0.55,0.76,1223.66,1055.79,1461.14,0.06,0.04,0.08,8.98,6.42,12.07,0.53,0.46,0.63,1020.41,887.49,1217.55,57.94,46.04,72.19,225.04,187.17,271.31,149352.14,151976.57,154564.27,157132.68,159705.12,162296.61,164913.30,167545.16,170170.64,172759.24,175287.58,177750.67,180151.02,182482.14,184738.45,186917.36,189012.41,191026.63,192979.02,194895.99,196796.26,198686.68,200560.98,202408.63,204213.13,205962.10,17964.59,17513.01,17571.59,16433.40,15166.55,14875.02,19889.36,19067.58,18331.99,18239.15,16949.00,15506.97,15128.75,55.53,42.77,34.35,28.18,20.35,15.79,73.92,77.61,81.19,82.83,84.33,85.68,91.00,88.00,89.00,90.00,91.00,92.00,92.00,93.00,94.00,95.00,94.00,92.00,91.00,93.00,95.00,99.00,96.00,96.00,96.00,96.00,98.00,96.00,99.00,96.00,99.00,99.00,98.00,96.00,97.00,92.00,91.00,94.00,84.00,13.00,6.00,15.00,10.00,4.00,,,,,0.50,0.33,1.14,373.00,250.00,852.00,0.65,0.47,1.35,5957.00,4251.00,12318.00,0.16,0.09,0.53,123.00,69.00,393.00,0.58,0.41,1.23,5335.00,3781.00,11274.00,249.00,171.00,482.00,1052.00,720.00,2315.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
